Listing ID,Listing URL,Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
1238340,https://www.sgcarmart.com/used_cars/info.php?ID=1238340,Nissan,23800,14590,742,21-Jan-15,461,96000,2014,Auto,14128,15430,10430,66010,1598,85,1205,1,Mid-Sized Sedan
1232724,https://www.sgcarmart.com/used_cars/info.php?ID=1232724,Honda,23900,12290,889,23-Sep-10,404,165600,2009,Auto,6446,17790,17790,16570,1497,88,1150,3,Mid-Sized Sedan
1238366,https://www.sgcarmart.com/used_cars/info.php?ID=1238366,Volkswagen,24366,13450,868,5-Aug-10,636,119000,2010,Auto,5821,15072,15072,16095,1390,63,1129,6,Hatchback
1238688,https://www.sgcarmart.com/used_cars/info.php?ID=1238688,Peugeot,25000,14610,508,28-Apr-15,548,97000,2014,Auto,13163,16576,5000,67749,1199,96,1150,1,Hatchback
1222616,https://www.sgcarmart.com/used_cars/info.php?ID=1222616,Mazda,25500,16600,1210,28-Nov-14,398,114500,2014,Auto,15593,18609,13609,72180,1998,111,1535,3,MPV
1184008,https://www.sgcarmart.com/used_cars/info.php?ID=1184008,Audi,25800,16300,624,26-Nov-14,396,90000,2014,Auto,15879,27195,15073,67889,1395,92,1310,2,Luxury Sedan
1192769,https://www.sgcarmart.com/used_cars/info.php?ID=1192769,BMW,26800,19070,742,15-Jul-14,270,126000,2014,Auto,17303,30617,24864,64889,1598,100,1405,1,Luxury Sedan
1238729,https://www.sgcarmart.com/used_cars/info.php?ID=1238729,BMW,26800,16410,742,28-Aug-14,3,135000,2014,Auto,18443,30655,24917,68689,1598,100,1405,1,Luxury Sedan
1238483,https://www.sgcarmart.com/used_cars/info.php?ID=1238483,Honda,26800,17190,684,9-Mar-15,487,93000,2015,Auto,12197,15374,5374,66010,1498,96,1046,2,Hatchback
1226951,https://www.sgcarmart.com/used_cars/info.php?ID=1226951,Honda,27500,20100,1630,16-Apr-14,181,139855,2014,Auto,21107,30444,34622,75300,2356,129,1855,3,MPV
1225800,https://www.sgcarmart.com/used_cars/info.php?ID=1225800,Volkswagen,27588,16470,624,11-Mar-15,489,120000,2014,Auto,13468,22710,8794,61410,1395,90,1249,2,Hatchback
1184227,https://www.sgcarmart.com/used_cars/info.php?ID=1184227,Ford,27800,14110,392,21-Jul-15,641,94325,2015,Auto,11744,15653,5653,48865,998,74,1178,3,Hatchback
1229713,https://www.sgcarmart.com/used_cars/info.php?ID=1229713,MINI,27800,18920,508,13-Feb-15,464,78000,2014,Auto,11023,19821,5000,62002,1198,75,1120,2,Hatchback
1236412,https://www.sgcarmart.com/used_cars/info.php?ID=1236412,Volkswagen,27800,13850,508,9-Jul-15,609,118000,2015,Auto,15557,17474,7474,66000,1197,66,1139,3,Hatchback
1213421,https://www.sgcarmart.com/used_cars/info.php?ID=1213421,Volkswagen,27800,19290,868,23-Mar-10,523,238000,2010,Auto,4776,23882,23882,16604,1390,118,1285,6,Sports Car
1238303,https://www.sgcarmart.com/used_cars/info.php?ID=1238303,Kia,27988,16210,738,18-Mar-15,519,121000,2014,Auto,13496,14693,9693,57199,1591,95.3,1295,1,Mid-Sized Sedan
1239480,https://www.sgcarmart.com/used_cars/info.php?ID=1239480,Mazda,28200,15800,1520,16-Oct-14,367,145000,2014,Auto,20778,23247,24546,72180,2261,120,1780,1,MPV
1215367,https://www.sgcarmart.com/used_cars/info.php?ID=1215367,BMW,28500,18280,742,28-Aug-14,3,92000,2014,Auto,18841,30751,25052,72810,1598,100,1405,4,Luxury Sedan
1238363,https://www.sgcarmart.com/used_cars/info.php?ID=1238363,Toyota,28500,13890,965,30-Nov-10,737,158000,2010,Auto,7214,16286,16286,17600,1598,90,1195,4,Mid-Sized Sedan
1226139,https://www.sgcarmart.com/used_cars/info.php?ID=1226139,Chevrolet,28800,15580,604,31-Mar-15,522,105000,2014,Auto,17125,17020,12020,72100,1362,103,1485,3,Stationwagon
1230725,https://www.sgcarmart.com/used_cars/info.php?ID=1230725,Citroen,28800,11980,508,23-Dec-15,798,85000,2015,Auto,15491,18320,5000,56989,1199,60,975,3,SUV
1206810,https://www.sgcarmart.com/used_cars/info.php?ID=1206810,Nissan,28800,14400,508,20-Jun-15,610,122000,2015,Auto,16198,19084,9084,66590,1197,85,1285,3,SUV
1238505,https://www.sgcarmart.com/used_cars/info.php?ID=1238505,Nissan,28800,17520,1210,20-Dec-14,430,199000,2014,Auto,17619,20733,16027,74389,1997,106,1379,2,SUV
1239114,https://www.sgcarmart.com/used_cars/info.php?ID=1239114,Audi,28888,16440,624,30-Jan-15,460,118000,2014,Auto,16711,27192,15069,65001,1395,92,1310,3,Luxury Sedan
1238254,https://www.sgcarmart.com/used_cars/info.php?ID=1238254,Toyota,29300,15770,682,22-May-15,582,83000,2014,Auto,15366,17950,7950,68589,1496,81,1200,1,Mid-Sized Sedan
1210720,https://www.sgcarmart.com/used_cars/info.php?ID=1210720,Volkswagen,29500,15830,620,29-May-15,580,120500,2015,Auto,14973,17553,7553,66590,1390,90,1417,1,Mid-Sized Sedan
1238419,https://www.sgcarmart.com/used_cars/info.php?ID=1238419,Audi,29800,16460,976,28-Nov-14,398,116000,2014,Auto,20449,28946,22525,72201,1798,125,1545,3,Luxury Sedan
1230338,https://www.sgcarmart.com/used_cars/info.php?ID=1230338,Mazda,29800,16060,1210,27-Mar-15,518,120000,2015,Auto,17572,17969,12969,71889,1998,111,1535,2,MPV
1237261,https://www.sgcarmart.com/used_cars/info.php?ID=1237261,Mazda,29800,16560,682,11-May-15,551,97300,2015,Auto,14718,17431,7431,67601,1496,88,1321,2,Mid-Sized Sedan
1182043,https://www.sgcarmart.com/used_cars/info.php?ID=1182043,Mercedes-Benz,29800,21540,740,5-Sep-14,1,105359,2014,Auto,16312,27866,21013,65001,1595,115,1435,4,SUV
1229149,https://www.sgcarmart.com/used_cars/info.php?ID=1229149,Peugeot,29800,15850,508,29-Jun-15,610,110000,2015,Auto,14253,20285,5399,66000,1199,96,1150,5,Hatchback
1199960,https://www.sgcarmart.com/used_cars/info.php?ID=1199960,BMW,29900,21020,742,29-Oct-14,370,67900,2014,Auto,16289,24227,15918,72180,1598,100,1310,2,Hatchback
1239544,https://www.sgcarmart.com/used_cars/info.php?ID=1239544,Subaru,30800,14020,744,12-Jun-15,584,97800,2012,Auto,19311,14976,14976,66590,1600,84,1360,1,Mid-Sized Sedan
1238649,https://www.sgcarmart.com/used_cars/info.php?ID=1238649,Volkswagen,30800,14620,508,12-Aug-15,643,84500,2015,Auto,14723,18093,8093,56209,1197,77,1229,1,Hatchback
1198693,https://www.sgcarmart.com/used_cars/info.php?ID=1198693,Volkswagen,31300,14100,806,1-May-11,798,144000,2010,Auto,8278,22083,22083,18652,1390,118,1377,3,Mid-Sized Sedan
1227682,https://www.sgcarmart.com/used_cars/info.php?ID=1227682,Audi,31500,15180,392,29-Jul-15,639,113258,2015,Auto,14729,22572,8601,55889,999,70,1165,2,Hatchback
1238224,https://www.sgcarmart.com/used_cars/info.php?ID=1238224,Honda,31800,14850,684,5-Aug-15,636,87000,2015,Auto,15511,14828,9828,55889,1498,96,1046,3,Hatchback
1238451,https://www.sgcarmart.com/used_cars/info.php?ID=1238451,Hyundai,31800,13190,738,19-Aug-15,369,125000,2015,Auto,18521,14802,14802,56209,1591,97,1292,3,Mid-Sized Sedan
1239782,https://www.sgcarmart.com/used_cars/info.php?ID=1239782,Kia,31800,13540,959,17-Feb-11,853,141366,2010,Auto,9355,14732,14732,19922,1591,91.2,1232,4,Sports Car
1233900,https://www.sgcarmart.com/used_cars/info.php?ID=1233900,Mitsubishi,31800,17840,1636,28-Jan-15,458,135514,2014,Auto,18975,17450,17450,73900,2360,123,1520,3,SUV
1226229,https://www.sgcarmart.com/used_cars/info.php?ID=1226229,Peugeot,31800,13660,508,21-Oct-15,737,86977,2015,Auto,16338,18358,8358,56001,1199,96,1150,3,Hatchback
1239548,https://www.sgcarmart.com/used_cars/info.php?ID=1239548,Toyota,31800,15450,742,15-May-15,576,46718,2015,Auto,18904,19589,14589,68589,1598,90,1205,2,Mid-Sized Sedan
1238686,https://www.sgcarmart.com/used_cars/info.php?ID=1238686,Volkswagen,31800,17220,624,26-Jun-15,606,185000,2015,Auto,13112,19211,5000,61000,1395,90,1249,3,Hatchback
1217414,https://www.sgcarmart.com/used_cars/info.php?ID=1217414,Mitsubishi,31998,11470,70,10-May-16,916,72098,2016,Auto,10795,13361,5000,30300,1193,57,940,3,Mid-Sized Sedan
