Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
179800,1202,1888,89000,57888,30959,1685,1.0986122886681098
33800,742,735,133094,16374,57301,1490,0.6931471805599453
199888,586,2712,37000,37002,50100,1555,0.0
128800,684,1980,25974,38950,39401,1415,0.0
10300,826,278,110000,20064,15256,1060,0.6931471805599453
159800,684,2220,37000,34175,35710,1505,0.6931471805599453
94800,742,1856,40000,20879,31783,1230,0.0
60800,1210,399,96577,56010,73900,1700,0.6931471805599453
111800,1638,1134,128000,34489,50110,1775,0.0
172800,682,3289,2178,21071,81089,1430,0.0
115500,662,2559,25022,19465,37334,1110,0.0
86000,684,1825,61125,16906,31997,1088,1.0986122886681098
578000,5466,2646,14500,125849,51900,2035,0.6931471805599453
172800,1198,2560,38200,35480,64901,1485,0.0
138800,1210,1499,137000,63422,57390,1615,1.0986122886681098
59800,684,1100,35888,23513,51507,1454,0.0
36800,682,370,75000,18644,56209,1190,0.0
90800,1176,1191,119810,37621,53106,1716,0.6931471805599453
143800,5482,2928,95000,88299,60586,1940,1.3862943611198906
93888,684,2468,87006,17683,33520,1096,1.0986122886681098
99800,682,2588,32000,14402,35990,1085,0.0
50800,1026,1493,73000,16412,41994,1313,0.0
58800,742,1160,136979,17982,50951,1205,0.6931471805599453
47800,1210,942,92000,19906,47000,1379,1.3862943611198906
59800,1196,760,90000,29918,59889,1610,1.0986122886681098
37800,1630,368,110690,28898,72180,1855,1.3862943611198906
82800,1210,1612,58000,22366,37010,1472,0.0
62777,1786,766,111000,28069,56956,1568,0.0
140800,1202,1490,100000,49850,31307,1605,0.0
275800,2362,1916,19191,78689,32909,2109,0.6931471805599453
63800,682,1493,96000,18167,41761,1110,1.0986122886681098
99400,890,2928,95000,31563,46482,1500,1.0986122886681098
77800,1792,973,81200,36191,55100,1615,0.6931471805599453
92000,684,1859,55000,24947,30209,1225,1.0986122886681098
49800,1450,1103,100000,29686,30293,1455,0.6931471805599453
85800,744,1494,70000,23146,57414,1630,0.6931471805599453
32800,1634,34,156000,24373,63001,1580,1.0986122886681098
91800,684,1128,115592,33980,49189,1425,0.0
214888,2382,1619,76000,92086,42322,1940,0.0
133000,1210,1340,105000,56222,47501,2070,0.0
39800,682,976,88000,16622,55200,1321,1.0986122886681098
58800,682,1314,83888,15662,45201,1090,0.6931471805599453
60800,682,1215,57600,20871,48401,1190,0.6931471805599453
78800,242,2197,40784,16665,15309,1205,0.0
187788,1210,2221,52000,52511,41510,1540,0.0
57888,1107,2043,160000,13989,27886,1251,1.3862943611198906
173800,1194,1460,52250,54896,36000,2105,0.0
85800,684,1580,100000,26098,40000,1558,0.6931471805599453
153800,1210,1619,103000,55168,45289,1715,0.0
159999,684,3526,2500,17189,103721,1254,0.0
96800,392,1467,48000,24711,33798,1280,0.0
60800,740,735,78000,35294,60001,1425,0.6931471805599453
44800,1638,246,108000,37721,67290,1930,0.6931471805599453
130800,1176,1859,64000,30016,32302,1692,0.6931471805599453
162800,1210,2223,34800,30808,40989,1695,0.0
96800,965,2802,79000,31019,45272,1500,0.0
62800,508,1733,23082,13305,25000,1048,0.6931471805599453
101800,1202,1245,87500,41573,48556,1465,0.0
18000,868,494,147485,19750,16604,1329,1.791759469228055
37800,742,793,126000,16439,59200,1205,0.6931471805599453
51800,620,976,86000,19019,55200,1245,1.0986122886681098
618800,2364,2289,20000,168003,40009,1585,0.6931471805599453
113000,1202,1493,63000,43854,57000,1465,0.0
182800,1792,1495,97000,48192,33420,2045,0.0
52800,682,1102,107445,20847,50991,1321,0.6931471805599453
283333,1792,2684,62000,53045,46002,2030,0.0
98800,682,2462,28242,19333,33520,1130,0.6931471805599453
46800,682,946,87000,20973,47020,1190,1.0986122886681098
80000,742,1677,103000,19662,40000,1249,0.0
68800,684,1099,68625,26342,56500,1324,0.0
38300,1792,521,87000,27619,71889,1470,0.0
50500,624,979,113000,23810,53694,1249,0.6931471805599453
56800,738,1367,87000,13230,42801,1284,0.6931471805599453
47888,682,946,109000,19583,45504,1320,1.0986122886681098
95888,682,2073,85000,17412,28589,1325,0.6931471805599453
100800,1210,1370,92000,37057,54616,1535,0.0
277000,4334,3322,78000,182606,107652,2295,1.3862943611198906
88800,738,2197,67000,12804,31759,1345,0.0
66500,508,1131,49638,19750,42801,1325,0.0
133888,1210,2069,70000,30806,35906,1695,0.0
82800,578,2008,9803,15750,26301,1052,0.0
91800,1208,1949,69931,13438,35403,1591,0.6931471805599453
59999,738,1130,62000,11090,44002,1345,0.0
164500,684,2710,37667,39341,49489,1435,0.0
230800,586,2953,9120,43336,95856,1435,0.0
138000,682,3166,10817,21569,73801,1250,0.0
77000,1208,1465,48300,13744,48109,1591,0.0
23400,624,460,79116,19247,66010,1249,0.0
