Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
BMW,118500,22530,1210,25-Aug-2017,1099,130000,2017,Auto,59935,53014,62426,50101,1998,185.0,1615,3,Luxury Sedan
Nissan,52800,15430,742,25-Aug-2016,734,85000,2016,Auto,25474,16910,16910,53334,1598,85.0,1205,2,Mid-Sized Sedan
Subaru,57800,16220,1208,26-Oct-2016,1100,96280,2016,Auto,27090,16858,16858,53001,1995,110.0,1566,4,SUV
Volkswagen,119988,14160,392,13-Aug-2021,2557,46300,2021,Auto,48807,17815,17815,45189,999,85.0,1190,1,Hatchback
Kia,92800,14000,738,18-Nov-2019,2227,57889,2019,Auto,31642,14492,14492,34001,1591,93.8,1287,1,Mid-Sized Sedan
Lexus,55800,20270,1792,06-May-2015,550,90000,2015,Auto,38619,39966,47953,78001,2494,135.0,1615,1,Luxury Sedan
Mazda,43998,15780,1210,28-Dec-2015,797,157339,2015,Auto,23028,18062,18062,55001,1998,111.0,1535,1,MPV
Mercedes-Benz,71800,18490,740,21-Feb-2017,1215,135000,2016,Auto,29160,22921,19090,49751,1595,90.0,1395,3,Hatchback
Honda,56800,11160,885,10-Nov-2008,1825,158319,2008,Auto,15095,14257,7712,29670,1339,73.0,1010,4,Hatchback
Mercedes-Benz,90800,14210,1364,29-Mar-2010,2318,112368,2009,Auto,24334,50036,50036,38071,1796,150.0,1575,4,Luxury Sedan
Honda,61800,23190,1630,05-Oct-2015,399,89432,2015,Auto,29220,28184,31458,60001,2356,129.0,1855,1,MPV
BMW,213777,20490,684,24-Feb-2023,3408,2160,2022,Auto,113586,36561,43186,86556,1499,90.0,1500,2,SUV
Porsche,388888,109520,2364,12-Apr-2016,911,62000,2015,Auto,149345,142940,229292,47000,2981,309.0,1460,3,Sports Car
BMW,76800,14020,3573,30-Apr-2009,1976,141000,2008,Auto,18083,38168,38168,33018,2996,218.0,1760,4,Sports Car
