Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
133800,1210,1738,127886,41483,10.398458146978019,1660,1
85800,1202,1373,67000,33612,10.768506042432708,1644,1
126000,680,2619,37000,19388,10.633520992762682,1563,2
114800,1208,2193,74000,18244,10.63009368683974,1591,2
110800,606,2282,32947,23980,10.596659732783579,1538,1
49800,624,946,124000,22566,10.75832832209406,1310,3
119800,1208,2621,46000,16755,10.805679360030782,1489,2
385000,4361,3078,53124,268579,11.332170680147806,1514,4
88888,1573,2738,122000,23514,10.764603783665628,1530,4
82800,1202,851,58000,45373,11.000248127840763,1465,1
34800,508,798,81000,13923,10.956073354557526,1081,3
78800,508,1893,73499,20788,10.126631103850338,1203,1
173800,1210,2253,47000,51807,10.599156550639583,1540,1
111800,606,2287,66277,24008,10.596659732783579,1538,1
236663,6860,2988,56663,182668,11.21119855727786,1845,4
179800,1202,1888,89000,57888,10.340419027440413,1685,3
33800,742,735,133094,16374,10.956073354557526,1490,2
199888,586,2712,37000,37002,10.821776287072955,1555,1
128800,684,1980,25974,38950,10.5815464756746,1415,1
10300,826,278,110000,20064,9.632728147280256,1060,2
159800,684,2220,37000,34175,10.483186040588494,1505,2
94800,742,1856,40000,20879,10.36668683462848,1230,1
60800,1210,399,96577,56010,11.210468106936293,1700,2
111800,1638,1134,128000,34489,10.821975867953771,1775,1
172800,682,3289,2178,21071,11.303302595885748,1430,1
115500,662,2559,25022,19465,10.527659718592542,1110,1
86000,684,1825,61125,16906,10.373397427387058,1088,3
