ID,Model,Prices,Depreciation,Reg Date,Eng Cap,Mileage,Vehicle Type
1235883,Honda Vezel 1.5A X,43800.0,15010.0,2016-04-27,1496,135000,SUV
1204276,Volkswagen Tiguan 1.4A TSI Highline,152500.0,18160.0,2021-03-26,1395,69899,SUV
1237679,Audi Q2 1.0A TFSI S-tronic,97000.0,18730.0,2018-02-20,999,41895,SUV
1154113,Mercedes-Benz GLA-Class GLA200 Progressive,192888.0,21950.0,2021-08-19,1332,56000,SUV
1237750,Subaru Forester 2.0i-S EyeSight Sunroof,115500.0,17790.0,2019-09-27,1995,84781,SUV
1119376,Toyota Corolla Altis 1.6A 50th Anniversary Edition,59800.0,15700.0,2016-12-08,1598,69317,Sedan
1149205,Honda Civic 1.5A VTEC Turbo Sunroof,104000.0,17360.0,2018-11-26,1498,84500,Sedan
1215452,Mercedes-Benz G-Class G63 AMG 4MATIC,750888.0,85980.0,2021-02-09,3982,21000,SUV
958765,Hyundai Elantra 1.6A (COE till 09/2025),26800.0,13490.0,2011-07-26,1591,110000,Sedan
1234890,BMW 5 Series 535i Sunroof (COE till 04/2031),123800.0,16350.0,2011-12-21,2979,105500,Luxury
1222355,Toyota Corolla Altis 1.6A (COE till 04/2029),61000.0,11040.0,2009-04-14,1598,152889,Sedan
1226072,Toyota Vios 1.5A E,111988.0,13070.0,2021-10-20,1496,26000,Sedan
1218533,Volvo S60 T2,63888.0,15640.0,2016-12-21,1498,129000,Luxury
1229810,Mercedes-Benz GLA-Class GLA180 Urban Edition,135000.0,18510.0,2020-03-11,1595,69797,Hatchback
1171934,Volkswagen Touran Diesel 1.6A TDI Sunroof,41900.0,16000.0,2015-08-31,1598,98000,MPV
1196784,Citroen DS4 Crossback Diesel 1.6A BlueHDi,49800.0,14700.0,2016-09-28,1560,55000,SUV
1237720,Toyota Camry 2.0A,36800.0,16360.0,2015-02-27,1998,92000,Luxury
1198738,Volkswagen CrossPolo 1.2A TSI (New 5-yr COE),65800.0,13150.0,2013-12-24,1197,118000,Hatchback
1173282,Mitsubishi Lancer EX 1.6A,53800.0,14150.0,2017-02-07,1590,138000,Sedan
1237721,Toyota C-HR Hybrid 1.8A G,70800.0,18060.0,2017-07-18,1797,73000,SUV
1171305,Toyota Harrier 2.0A Elegance Panoramic Roof,87800.0,19660.0,2017-04-05,1986,48000,SUV
1220625,Volkswagen Golf 1.4A TSI EQP Sunroof,72800.0,16260.0,2017-10-10,1395,93000,Hatchback
1237722,Mazda CX-5 2.0A,57800.0,17010.0,2016-05-31,1998,138000,SUV
1237713,BMW X1 sDrive18i,74800.0,19800.0,2016-10-11,1499,98000,SUV
1231092,Toyota C-HR Hybrid 1.8A G,79800.0,18110.0,2017-12-28,1797,67400,SUV
